TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Intero,psi,More,2.034775899956003,67,1.3616392998956144,-0.5,105.5,105.0,False,True,True,0,-23.24542254487094,12.550553475165675,1633716543.6526756,1633716549.245905,1633716551.8200421,1633716551.8679132,1633716553.4885173,1633716553.641741
psi,Less,Intero,psi,Less,1.3506525000557303,100,0.6990633001551032,-23.5,103.0,79.5,True,True,True,1,-10.897009912607174,12.875481325119662,1633716555.9744325,1633716561.558283,1633716563.4519033,1633716563.501881,1633716564.4536371,1633716564.552453
psi,Less,Intero,psi,Less,3.543480599997565,23,1.5251150999683887,-11.5,101.5,90.0,True,True,True,2,-1.9382663526262425,13.045472545280248,1633716566.2611096,1633716571.849503,1633716575.9340847,1633716575.9910526,1633716577.7682106,1633716577.968246
psi,More,Intero,psi,More,2.661100700031966,53,1.1718703999649733,0.5,89.5,90.0,True,True,True,3,-7.8789771856153985,11.53986377321524,1633716579.7112653,1633716592.3314414,1633716595.5306182,1633716595.5925832,1633716597.014778,1633716597.1991296
psi,Less,Intero,psi,Less,2.0495998999103904,52,1.7449597001541406,-7.5,101.5,94.0,True,True,True,4,-3.3533866026553465,11.093197569232558,1633716599.5999444,1633716605.2039986,1633716607.7963264,1633716607.8662667,1633716609.8616478,1633716610.1330986
psi,Less,Intero,psi,More,1.1494861000683159,100,0.839488800149411,-3.5,110.0,106.5,False,True,True,5,-6.743991983052569,10.439661476669434,1633716611.5823588,1633716617.1881216,1633716618.87755,1633716618.9545064,1633716620.0445137,1633716620.20448
psi,Less,Intero,psi,More,2.7666527999099344,68,1.967905200086534,-9.5,106.5,97.0,False,True,True,6,-10.689752593556754,13.350886246587368,1633716621.6275754,1633716627.2455723,1633716630.5577354,1633716630.6399806,1633716632.8585627,1633716633.2037945
psi,Less,Intero,psi,More,2.0889405999332666,59,0.9966835000086576,-16.5,108.5,92.0,False,True,True,7,-15.251102808970716,16.099742266659035,1633716635.0871413,1633716640.711446,1633716643.357025,1633716643.4409773,1633716644.6908193,1633716644.9066951
psi,Less,Intero,psi,Less,1.4841790997888893,83,2.0913406999316067,-23.5,106.0,82.5,True,True,True,8,-13.202956828874298,15.251678572916436,1633716647.3973002,1633716653.0197108,1633716655.054865,1633716655.1468122,1633716657.4889538,1633716657.9080734
psi,Less,Intero,psi,Less,1.2498538999352604,100,0.5387414998840541,-22.5,107.0,84.5,True,True,True,9,-11.710727868278427,14.485683921601009,1633716660.5088427,1633716666.144329,1633716667.9355934,1633716668.0305393,1633716668.8198643,1633716668.969767
psi,Less,Intero,psi,Less,1.4498671998735517,88,0.7795680998824537,-21.5,106.0,84.5,True,True,True,10,-10.572210214507006,13.793667342193157,1633716670.4568162,1633716676.0935795,1633716678.0838976,1633716678.1868563,1633716679.2189372,1633716679.4247854
psi,Less,Intero,psi,More,1.5664750998839736,44,2.0931110999081284,-0.5,101.5,101.0,False,True,True,11,-11.58856864085115,13.017395715468439,1633716682.0215085,1633716687.666662,1633716689.7824502,1633716689.889389,1633716692.2335565,1633716692.7332788
psi,Less,Intero,psi,Less,1.4336224999278784,100,1.0249008000828326,-21.5,100.5,79.0,True,True,True,12,-10.767094070656942,12.307294626838459,1633716695.2045462,1633716700.8571968,1633716702.8303266,1633716702.940264,1633716704.2148802,1633716704.497876
psi,Less,Intero,psi,More,1.0099888001568615,100,0.5133215999230742,-1.5,115.5,114.0,False,True,True,13,-11.553157817075657,11.545503607203981,1633716707.139831,1633716712.7967865,1633716714.3464115,1633716714.4663253,1633716715.2295191,1633716715.409799
psi,Less,Intero,psi,Less,2.5455078999511898,32,1.708708900026977,-20.5,111.0,90.5,True,True,True,14,-10.898595279691767,10.858780869963294,1633716717.8462129,1633716723.5103216,1633716726.6098454,1633716726.7337856,1633716728.6944528,1633716729.1716497
psi,Less,Intero,psi,More,1.1522272999864072,86,1.6681480999104679,-1.5,107.5,106.0,False,True,True,15,-11.46569642907905,10.166957532258808,1633716731.4819355,1633716737.1532447,1633716738.8578403,1633716738.9890928,1633716740.9094133,1633716741.4069884
psi,Less,Intero,psi,More,2.639174599898979,56,0.8955265001859516,-19.5,110.5,91.0,False,True,True,16,-13.522125092598293,12.551095834761487,1633716744.0040855,1633716749.68071,1633716752.871661,1633716753.0095825,1633716754.1572351,1633716754.4639273
psi,Less,Intero,psi,Less,1.8118685998488218,21,1.273065300192684,-24.5,109.5,85.0,True,True,True,17,-13.003230352480399,11.933844482654765,1633716756.8914065,1633716762.5748932,1633716764.9377024,1633716765.0816257,1633716766.6056297,1633716767.0323842
psi,Less,Intero,psi,More,1.835059099830687,24,1.2515224001836032,-2.5,99.5,97.0,False,True,True,18,-13.482397238051751,11.345579060207267,1633716769.7568219,1633716775.4488604,1633716777.8357706,1633716777.9816878,1633716779.4861162,1633716779.9276032
psi,Less,Intero,psi,Less,2.5550679001025856,76,0.9733345001004636,-24.5,99.5,75.0,True,True,True,19,-13.086660636515655,10.789332225420134,1633716782.692946,1633716788.3935184,1633716791.4995735,1633716791.659487,1633716792.884416,1633716793.2724662
psi,Less,Intero,psi,More,1.5636601999867707,100,1.2991245999000967,-3.5,108.5,105.0,False,True,True,20,-13.49985774072326,10.253791363312933,1633716795.0010574,1633716800.6948092,1633716802.7984202,1633716802.9643438,1633716804.516015,1633716805.0328946
psi,Less,Intero,psi,Less,3.024677900131792,70,2.40238089999184,-23.5,100.5,77.0,True,True,True,21,-13.16286122210486,9.759241533242442,1633716823.4274802,1633716835.9958105,1633716839.5592391,1633716839.5722325,1633716842.226705,1633716842.3009431
psi,Less,Intero,psi,More,1.4225165001116693,59,2.2464085000101477,-4.5,98.0,93.5,False,True,True,22,-13.530186056008876,9.2877815708685,1633716844.522155,1633716850.0736759,1633716852.0580983,1633716852.076088,1633716854.57425,1633716854.665389
psi,Less,Intero,psi,Less,2.08353290008381,100,0.5123522998765111,-22.5,100.0,77.5,True,True,True,23,-13.23389707172232,8.861353772010215,1633716856.7395132,1633716862.296488,1633716864.921251,1633716864.9422584,1633716865.7062793,1633716865.743064
psi,Less,Intero,psi,More,1.9008013000711799,47,0.9899299000389874,-5.5,96.5,91.0,False,True,True,24,-13.57245608094016,8.45504599465318,1633716867.0641751,1633716872.6197937,1633716875.070299,1633716875.095285,1633716876.3377762,1633716876.4061098
psi,Less,Intero,psi,Less,1.7709047000389546,42,2.9369554999284446,-18.5,103.0,84.5,True,True,True,25,-13.124806274281816,8.156873405768115,1633716878.469024,1633716884.029592,1633716886.3507938,1633716886.3817763,1633716889.5684671,1633716889.8073316
psi,Less,Intero,psi,More,1.2179119000211358,100,0.730502099962905,-6.5,102.5,96.0,False,True,True,26,-13.444640590713721,7.811487696342821,1633716891.9955637,1633716897.5669181,1633716899.332957,1633716899.3689587,1633716900.3502712,1633716900.4212472
psi,Less,Intero,psi,More,1.1914105000905693,100,1.094530199887231,-7.5,103.0,95.5,False,True,True,27,-13.757365740006996,7.509382880790692,1633716902.334197,1633716907.9042125,1633716909.6485817,1633716909.687578,1633716911.0313997,1633716911.1383023
psi,Less,Intero,psi,Less,3.1645605000667274,51,1.8922181001398712,-20.5,103.0,82.5,True,True,True,28,-13.500023103160673,7.214647795580834,1633716913.20067,1633716918.7741683,1633716922.4790819,1633716922.521062,1633716924.6630504,1633716924.8509238
psi,Less,Intero,psi,More,1.2216544998809695,100,1.1502948000561446,-8.5,115.0,106.5,False,True,True,29,-13.815451310095861,6.959651796324014,1633716926.2204435,1633716931.799305,1633716933.5782378,1633716933.6262293,1633716935.0287912,1633716935.1617522
psi,Less,Intero,psi,Less,3.350427000084892,0,1.1164017000701278,-16.5,108.5,92.0,True,True,True,30,-13.38498725862284,6.790892301580557,1633716936.9103272,1633716942.4962726,1633716946.3915617,1633716946.4435325,1633716947.810076,1633716947.9606738
psi,Less,Intero,psi,More,1.3507397000212222,99,1.1734461998566985,-8.5,112.5,104.0,False,True,True,31,-13.655442759858728,6.567078405190625,1633716949.7884214,1633716955.3791342,1633716957.2739835,1633716957.3329692,1633716958.7583673,1633716958.9210398
psi,Less,Intero,psi,Less,3.531356600113213,28,1.5566191000398248,-18.5,106.5,88.0,True,True,True,32,-13.399286196489342,6.350500418410473,1633716960.3238378,1633716965.9175024,1633716969.9886773,1633716970.047644,1633716971.855868,1633716972.081213
psi,Less,Intero,psi,More,1.566461900016293,100,0.5159137998707592,-9.5,107.5,98.0,False,True,True,33,-13.682819602024326,6.163337502161937,1633716973.9275079,1633716979.5278213,1633716981.6372454,1633716981.7042067,1633716982.470482,1633716982.5788279
psi,Less,Intero,psi,More,1.3007788001559675,72,0.5412353000137955,-9.5,107.5,98.0,False,True,True,34,-13.930125336689418,5.9850474677631755,1633716984.033698,1633716989.6397612,1633716991.4859254,1633716991.5599024,1633716992.3526528,1633716992.4620683
psi,Less,Intero,psi,Less,2.2507142000831664,8,2.2424689000472426,-18.5,107.5,89.0,True,True,True,35,-13.709651385597365,5.801394274986409,1633716993.9277308,1633716999.5366056,1633717002.3323762,1633717002.4073334,1633717004.9005592,1633717005.2802835
psi,Less,Intero,psi,Less,2.3728571999818087,27,1.2669880001340061,-11.5,107.0,95.5,True,True,True,36,-13.106781363499406,6.026092342891791,1633717007.1563811,1633717012.7713792,1633717015.6814513,1633717015.7644038,1633717017.2825089,1633717017.5163577
psi,Less,Intero,psi,Less,2.189441499998793,22,0.6658542999066412,-17.5,106.0,88.5,True,True,True,37,-12.897940073253926,5.844221136681003,1633717019.7610114,1633717025.3835874,1633717028.1290977,1633717028.214049,1633717029.1298501,1633717029.2894862
psi,Less,Intero,psi,Less,1.492888200096786,27,1.2260416001081467,-17.5,102.5,85.0,True,True,True,38,-12.712560262738393,5.675643523802001,1633717031.3187122,1633717036.945676,1633717038.9775224,1633717039.0684705,1633717040.5460026,1633717040.8105469
psi,Less,Intero,psi,More,1.3008535001426935,100,1.1512537999078631,-16.5,113.5,97.0,False,True,True,39,-13.318613373065315,6.133785689780622,1633717042.437646,1633717055.089953,1633717056.9414072,1633717057.0413501,1633717058.4422739,1633717058.7197921
