TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Intero,psi,More,2.0403607999905944,73,2.1857574000023305,-0.5,87.5,87.0,False,True,True,0,-23.24542254487094,12.550553475165675,1633807935.862459,1633807941.460602,1633807944.0577812,1633807944.112865,1633807946.5589476,1633807946.8148026
psi,Less,Intero,psi,Less,2.847166800056584,26,1.649403200019151,-23.5,89.0,65.5,True,True,True,1,-10.897009912607174,12.875481325119662,1633807948.9669309,1633807954.5578423,1633807957.975211,1633807958.0351753,1633807959.9368641,1633807960.159888
psi,Less,Intero,psi,More,1.8860365999862552,55,1.3384037000359967,-11.5,85.5,74.0,False,True,True,2,-19.828002166895676,12.706016683080888,1633807961.9751735,1633807967.5723789,1633807970.0341673,1633807970.1011314,1633807971.6950934,1633807971.8978133
psi,Less,Intero,psi,Less,2.0453470998909324,64,2.276089300052263,-19.5,81.5,62.0,True,True,True,3,-14.135329661305361,11.927328809437595,1633807973.6992476,1633807979.301035,1633807981.9128304,1633807981.983791,1633807984.5131397,1633807984.8586142
psi,Less,Intero,psi,More,3.2724826999474317,52,1.9517699000425637,-14.5,85.5,71.0,False,True,True,4,-18.472791721015106,11.511712070266173,1633807986.8785799,1633807992.4911406,1633807996.3300107,1633807996.4049678,1633807998.6107216,1633807998.9382808
psi,Less,Intero,psi,Less,1.824468299979344,91,1.208187000011094,-21.5,75.5,54.0,True,True,True,5,-15.936191874200999,9.943782466227733,1633808001.47657,1633808007.092672,1633808009.4876757,1633808009.5666308,1633808011.0295515,1633808011.262437
psi,Less,Intero,psi,Less,3.8259763999376446,14,0.8800644000293687,-13.5,76.0,62.5,True,True,True,6,-12.199310530901863,12.777887313239992,1633808012.7291927,1633808018.3529713,1633808022.7453043,1633808022.8332543,1633808023.967264,1633808024.162152
psi,Less,Intero,psi,More,3.2880201999796554,76,2.3135474000591785,-6.5,78.5,72.0,False,True,True,7,-14.120341586749909,11.478747765535482,1633808026.5880852,1633808032.2129858,1633808036.0646765,1633808036.1566305,1633808038.7253778,1633808039.1952155
psi,Less,Intero,psi,Less,2.74818170000799,52,3.8049729999620467,-7.5,80.5,73.0,True,True,True,8,-10.598375423971314,14.713684989089096,1633808041.319942,1633808046.9507012,1633808050.2637386,1633808050.3646812,1633808054.423173,1633808055.204325
psi,Less,Intero,psi,More,2.4314106999663636,66,3.498541099950671,-1.5,81.5,80.0,False,True,True,9,-11.9890839152786,13.851750533760848,1633808056.7056065,1633808062.3467762,1633808065.3404677,1633808065.4475856,1633808069.2005136,1633808069.9795425
psi,Less,Intero,psi,Less,2.2392549999058247,92,0.8374645999865606,-21.5,83.0,61.5,True,True,True,10,-10.96045897671614,13.074043536422515,1633808072.623233,1633808078.2741194,1633808081.0576549,1633808081.16959,1633808082.2583578,1633808082.506243
psi,Less,Intero,psi,More,1.745260399999097,96,1.234380800044164,-1.5,84.0,82.5,False,True,True,11,-11.931289261680645,12.197124101597845,1633808084.6226234,1633808090.2776883,1633808092.575824,1633808092.693759,1633808094.1813304,1633808094.533224
psi,Less,Intero,psi,,,,,-2.5,82.5,80.0,,False,False,12,-9.200841324327563,15.116781126780943,1633808096.7336943,1633808102.3916671,1633808107.43946,,,1633808108.0790877
psi,More,Intero,psi,More,1.5316563000669703,72,1.8357457999372855,2.5,83.0,85.5,True,True,True,13,-10.047496714714459,14.467997383230655,1633808109.7782772,1633808115.4451125,1633808117.5332391,1633808117.663167,1633808119.7533045,1633808120.2855475
psi,Less,Intero,psi,Less,2.300271000014618,83,1.8897357999812812,-21.5,79.5,58.0,True,True,True,14,-9.327625984477171,13.84479892309397,1633808122.0141618,1633808127.6925468,1633808130.551402,1633808130.687324,1633808132.8311253,1633808133.3894236
psi,More,Intero,psi,More,2.6679107999661937,86,1.1026909000938758,2.5,82.0,84.5,True,True,True,15,-9.976195901223225,13.194470048367398,1633808135.669932,1633808141.3495626,1633808144.5890076,1633808144.7330635,1633808146.0882332,1633808146.4699225
psi,Less,Intero,psi,Less,1.5990971999708563,98,0.9421492000110447,-21.5,81.0,59.5,True,True,True,16,-9.424781893167122,12.580284509629625,1633808148.9256995,1633808154.6161826,1633808156.7866292,1633808156.9345436,1633808158.1259048,1633808158.4956462
psi,More,Intero,psi,More,1.9589122000616044,73,1.0898950999835506,1.5,84.5,86.0,True,True,True,17,-9.960858083351626,11.94866028506375,1633808160.5103064,1633808166.201939,1633808168.7049198,1633808168.861836,1633808170.2053921,1633808170.6201549
psi,Less,Intero,psi,Less,1.529637600062415,86,1.204823900014162,-20.5,78.5,58.0,True,True,True,18,-9.498851018381817,11.361734349191993,1633808173.3401663,1633808179.0401928,1633808181.1233115,1633808181.2842195,1633808182.743914,1633808183.2186406
psi,More,Intero,psi,More,1.5393238000106066,40,1.2950992999831215,0.5,83.0,83.5,True,True,True,19,-9.94825051122432,10.776274874940972,1633808185.6456885,1633808191.3553815,1633808193.440416,1633808193.6143167,1633808195.1615252,1633808195.6772323
psi,Less,Intero,psi,Less,3.467376899905503,15,0.9231481000315398,-19.5,81.5,62.0,True,True,True,20,-9.553304690138221,10.240521549937837,1633808198.0439718,1633808203.766422,1633808207.7984009,1633808207.9823167,1633808209.1595058,1633808209.5554059
psi,Less,Intero,psi,More,2.5597953000105917,59,1.4560818000463769,-0.5,79.0,78.5,False,True,True,21,-9.938951244847766,9.71950517049121,1633808239.64624,1633808245.1870902,1633808248.2934115,1633808248.303406,1633808250.013154,1633808250.053198
psi,Less,Intero,psi,Less,1.2195179000264034,76,0.9343614000827074,-18.5,80.0,61.5,True,True,True,22,-9.591481331561916,9.248610156165414,1633808251.4001482,1633808256.944784,1633808258.711429,1633808258.7254112,1633808259.9114535,1633808259.9498193
psi,Less,Intero,psi,Less,2.4002813999541104,40,1.1505787000060081,-1.5,74.5,73.0,True,True,True,23,-8.108888672315942,11.198751811796782,1633808261.908489,1633808267.4589694,1633808270.4092395,1633808270.4272294,1633808271.830016,1633808271.8840034
psi,More,Intero,psi,More,2.179171000025235,80,1.2650393000803888,3.5,80.0,83.5,True,True,True,24,-8.41155194069702,10.71814043215747,1633808273.192109,1633808278.745229,1633808281.468072,1633808281.49006,1633808283.0082538,1633808283.0776875
psi,Less,Intero,psi,Less,1.520054699969478,87,1.4182778000831604,-18.5,78.5,60.0,True,True,True,25,-8.117910265485179,10.280617940810714,1633808284.944515,1633808290.5011978,1633808292.5678546,1633808292.5948594,1633808294.2662196,1633808294.357169
psi,More,Intero,psi,More,1.8395163000095636,89,1.8550194000126794,2.5,77.5,80.0,True,True,True,26,-8.384025712221938,9.856644097624505,1633808295.6535308,1633808301.21487,1633808303.6048295,1633808303.6348128,1633808305.7452185,1633808305.8770156
psi,Less,Intero,psi,Less,2.679619900067337,95,1.5304144999245182,-18.5,79.0,60.5,True,True,True,27,-8.141876035205028,9.480337302802843,1633808308.028718,1633808313.5975516,1633808316.8232083,1633808316.8591886,1633808318.643604,1633808318.7744472
psi,More,Intero,psi,More,2.6802101999055594,37,1.4075324999867007,1.5,77.5,79.0,True,True,True,28,-8.382340000279061,9.115301367967882,1633808320.7738943,1633808326.3433166,1633808329.5801423,1633808329.6201196,1633808331.2814105,1633808331.4186492
psi,Less,Intero,psi,Less,3.199826900032349,61,1.3012665999121964,-17.5,78.5,61.0,True,True,True,29,-8.151333270821137,8.787543375423503,1633808333.626884,1633808339.2057147,1633808342.9580505,1633808343.0030057,1633808344.5590417,1633808344.6993952
